,Name,Year,Rating,Critic Consensus,Summary
0,Mad Max: Fury Road,(2015),97,"Critics Consensus: With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.","Synopsis: Years after the collapse of civilization, the tyrannical Immortan Joe enslaves apocalypse survivors inside the desert fortress the Citadel. When... [More]"
1,Parasite,(2019),99,"Critics Consensus: An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.",Synopsis: Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.... [More]
2,Mulholland Dr.,(2001),84,Critics Consensus: David Lynch's dreamlike and mysterious Mulholland Drive is a twisty neo-noir with an unconventional structure that features a mesmerizing performance from Naomi Watts as a woman on the dark fringes of Hollywood.,Synopsis: A dark-haired woman (Laura Elena Harring) is left amnesiac after a car crash. She wanders the streets of Los Angeles... [More]
3,The Dark Knight,(2008),94,"Critics Consensus: Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","Synopsis: With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has... [More]"
4,Portrait of a Lady on Fire,(2019),97,"Critics Consensus: A singularly rich period piece, Portrait of a Lady on Fire finds stirring, thought-provoking drama within a powerfully acted romance.",Synopsis: In 1770 the young daughter of a French countess develops a mutual attraction to the female artist commissioned to paint... [More]
5,In the Mood for Love,(2000),92,"Critics Consensus: An exquisitely shot showcase for Maggie Cheung and Tony Leung that marks a somber evolution of Wong Kar-wai's chic style, In the Mood for Love is a tantric tease that's liable to break your heart.","Synopsis: In 1962, journalist Chow Mo-wan (Tony Leung Chiu Wai) and his wife move into a Hong Kong apartment, but Chow's... [More]"
6,Spirited Away,(2001),96,"Critics Consensus: Spirited Away is a dazzling, enchanting, and gorgeously drawn fairy tale that will leave viewers a little more curious and fascinated by the world around them.",Synopsis: 10-year-old Chihiro (Daveigh Chase) moves with her parents to a new home in the Japanese countryside. After taking a wrong... [More]
7,Pan's Labyrinth,(2006),95,"Critics Consensus: Pan's Labyrinth is Alice in Wonderland for grown-ups, with the horrors of both reality and fantasy blended together into an extraordinary, spellbinding fable.",Synopsis: In 1944 Spain young Ofelia (Ivana Baquero) and her ailing mother (Ariadna Gil) arrive at the post of her mother's... [More]
8,The Matrix,(1999),83,"Critics Consensus: Thanks to the Wachowskis' imaginative vision, The Matrix is a smartly crafted combination of spectacular action and groundbreaking special effects.","Synopsis: Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can... [More]"
9,The Social Network,(2010),96,"Critics Consensus: Impeccably scripted, beautifully directed, and filled with fine performances, The Social Network is a riveting, ambitious example of modern filmmaking at its finest.","Synopsis: In 2003, Harvard undergrad and computer genius Mark Zuckerberg (Jesse Eisenberg) begins work on a new concept that eventually turns... [More]"
10,No Country for Old Men,(2007),93,"Critics Consensus: Bolstered by powerful lead performances from Javier Bardem, Josh Brolin, and Tommy Lee Jones, No Country for Old Men finds the Coen brothers spinning cinematic gold out of Cormac McCarthy's grim, darkly funny novel.","Synopsis: While out hunting, Llewelyn Moss (Josh Brolin) finds the grisly aftermath of a drug deal. Though he knows better, he... [More]"
11,There Will Be Blood,(2007),91,"Critics Consensus: Widely touted as a masterpiece, this sparse and sprawling epic about the underhanded ""heroes"" of capitalism boasts incredible performances by leads Daniel Day-Lewis and Paul Dano, and is director Paul Thomas Anderson's best work to date.","Synopsis: Silver miner Daniel Plainview (Daniel Day-Lewis) leads a hardscrabble life with his son, H.W. (Dillon Freasier). When he hears about... [More]"
12,Get Out,(2017),98,"Critics Consensus: Funny, scary, and thought-provoking, Get Out seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride.","Synopsis: Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend... [More]"
13,Moonlight,(2016),98,Critics Consensus: Moonlight uses one man's story to offer a remarkable and brilliantly crafted look at lives too rarely seen in cinema.,"Synopsis: A look at three defining chapters in the life of Chiron, a young black man growing up in Miami. His... [More]"
14,Everything Everywhere All at Once,(2022),94,"Critics Consensus: Led by an outstanding Michelle Yeoh, Everything Everywhere All at Once lives up to its title with an expertly calibrated assault on the senses.","Synopsis: Directed by Daniel Kwan and Daniel Scheinert, collectively known as Daniels, the film is a hilarious and big-hearted sci-fi action... [More]"
15,Magnolia,(1999),82,"Critics Consensus: An eruption of feeling that's as overwhelming as it is overwrought, Paul Thomas Anderson's Magnolia reaches a fevered crescendo and sustains it thanks to its fearlessly committed ensemble.","Synopsis: On one random day in the San Fernando Valley, a dying father, a young wife, a male caretaker, a famous... [More]"
16,Whiplash,(2014),94,"Critics Consensus: Intense, inspiring, and well-acted, Whiplash is a brilliant sophomore effort from director Damien Chazelle and a riveting vehicle for stars J.K. Simmons and Miles Teller.","Synopsis: Andrew Neiman (Miles Teller) is an ambitious young jazz drummer, in pursuit of rising to the top of his elite... [More]"
17,Inside Llewyn Davis,(2013),92,"Critics Consensus: Smart, funny, and profoundly melancholy, Inside Llewyn Davis finds the Coen brothers in fine form.","Synopsis: In 1961 New York City, folk singer Llewyn Davis (Oscar Isaac) is at a crossroads. Guitar in hand, he struggles... [More]"
18,The Lord of the Rings: The Fellowship of the Ring,(2001),91,"Critics Consensus: Full of eye-popping special effects, and featuring a pitch-perfect cast, The Lord of the Rings: The Fellowship of the Ring brings J.R.R. Tolkien's classic to vivid life.","Synopsis: The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces... [More]"
19,Zodiac,(2007),90,"Critics Consensus: A quiet, dialogue-driven thriller that delivers with scene after scene of gut-wrenching anxiety. David Fincher also spends more time illustrating nuances of his characters and recreating the mood of the '70s than he does on gory details of murder.","Synopsis: In the late 1960s and 1970s, fear grips the city of San Francisco as a serial killer called Zodiac stalks... [More]"
20,Inglourious Basterds,(2009),89,"Critics Consensus: A classic Tarantino genre-blending thrill ride, Inglourious Basterds is violent, unrestrained, and thoroughly entertaining.",Synopsis: It is the first year of Germany's occupation of France. Allied officer Lt. Aldo Raine (Brad Pitt) assembles a team... [More]
21,The Tree of Life,(2011),85,"Critics Consensus: Terrence Malick's singularly deliberate style may prove unrewarding for some, but for patient viewers, Tree of Life is an emotional as well as visual treat.","Synopsis: In this highly philosophical film by acclaimed director Terrence Malick, young Jack (Hunter McCracken) is one of three brothers growing... [More]"
22,Paddington 2,(2017),99,Critics Consensus: Paddington 2 honors its star's rich legacy with a sweet-natured sequel whose adorable visuals are matched by a story perfectly balanced between heartwarming family fare and purely enjoyable all-ages adventure.,"Synopsis: Settled in with the Brown family, Paddington the bear is a popular member of the community who spreads joy and... [More]"
23,Black Panther,(2018),96,Critics Consensus: Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"Synopsis: After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place... [More]"
24,Arrival,(2016),94,Critics Consensus: Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,Synopsis: Linguistics professor Louise Banks (Amy Adams) leads an elite team of investigators when gigantic spaceships touch down in 12 locations... [More]
